,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_hr,Dep_min,Arrival_hr,Arrival_min,duration_hr,duration_min
14,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4804,24,4,17,15,19,50,2,35
15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,14011,3,3,16,40,19,15,26,35
16,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,5830,15,4,8,45,13,15,4,30
17,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,12,6,14,0,12,35,22,35
18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13381,12,6,20,15,19,15,23,00
19,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12898,27,5,16,0,12,35,20,35
20,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,19495,6,3,14,10,19,20,5,10
21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,6955,21,3,22,0,13,20,15,20
22,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3943,3,4,4,0,6,50,2,50
23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4823,1,5,18,55,21,50,2,55
24,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,7757,6,5,18,55,8,15,13,20
25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13292,9,6,21,25,12,35,15,10
26,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,8238,1,6,21,50,3,35,5,45
27,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7682,15,5,7,0,12,55,5,55
28,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,4668,18,6,9,45,12,35,2,50
29,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,3687,15,6,7,5,9,20,2,15
30,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,3687,18,6,7,5,9,20,2,15
31,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,13227,1,5,9,50,23,15,13,25
32,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4423,6,4,4,0,6,50,2,50
33,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,10919,15,6,14,35,12,35,22,00
34,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12373,18,5,7,5,12,35,5,30
35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5894,27,6,10,35,21,0,10,25
36,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,4649,21,5,15,5,20,20,5,15
37,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,6245,18,5,14,15,16,45,2,30
38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,19225,6,3,7,0,13,15,6,15
39,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,14924,3,6,7,5,19,0,11,55
40,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,9646,21,5,7,5,18,10,11,5
41,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,8714,15,3,6,45,15,15,8,30
42,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12373,18,5,20,55,19,0,22,5
43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3383,6,5,11,10,13,55,2,45
44,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,13062,21,3,9,0,21,0,12,00
45,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,3527,24,3,5,45,8,35,2,50
46,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3943,27,5,4,0,6,50,2,50
47,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,4667,3,5,11,40,13,55,2,15
48,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,6117,15,5,19,0,11,5,16,5
49,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,11150,27,6,23,5,19,0,19,55
50,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,7202,9,3,11,0,14,15,3,15
51,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,12121,1,5,9,35,10,55,25,20
52,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4377,24,3,22,20,1,10,2,50
53,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3943,18,6,21,15,0,15,3,00
54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4483,3,4,23,55,2,45,2,50
55,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14231,24,3,19,45,12,0,16,15
56,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,17345,1,3,8,50,23,55,15,5
57,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,7414,6,3,7,5,9,20,2,15
58,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,8073,6,5,19,0,1,30,6,30
59,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,12395,6,3,15,40,16,45,25,5
60,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,8366,6,6,9,25,21,50,12,25
61,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5117,3,4,6,5,9,25,27,20
62,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12524,3,6,8,45,19,0,10,15
63,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7191,15,5,15,0,1,30,10,30
64,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,3687,24,5,7,5,9,20,2,15
65,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5894,24,6,10,35,21,0,10,25
66,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,5403,24,4,9,45,12,35,2,50
67,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,3625,6,5,13,55,15,25,1,30
68,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,10861,21,5,5,55,19,15,13,20
69,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,6297,12,3,13,20,15,35,2,15
70,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,5678,1,6,7,5,8,30,1,25
71,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,9134,9,3,5,45,8,15,26,30
72,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10791,24,6,11,40,19,0,7,20
73,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,12819,24,6,23,5,12,35,13,30
74,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6893,21,3,5,5,10,5,5,00
75,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,7240,9,3,9,50,12,35,2,45
76,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3898,3,4,11,40,14,30,2,50
77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,4049,3,4,6,25,7,55,1,30
78,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,15,6,17,30,12,35,19,5
79,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0,3332,21,3,8,20,10,35,2,15
80,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10844,9,6,21,10,12,0,14,50
81,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,7229,24,3,19,55,22,35,2,40
82,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,13941,6,5,6,30,4,40,22,10
83,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5894,27,6,11,25,21,0,9,35
84,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10197,18,5,9,0,19,0,10,00
85,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,13712,6,3,14,5,11,25,21,20
86,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5636,24,6,2,0,7,25,5,25
87,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13014,6,6,9,40,4,25,18,45
88,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,7064,1,4,8,25,20,45,12,20
89,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10703,24,5,20,25,14,25,18,00
90,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,9646,27,5,13,15,22,30,9,15
91,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,17057,6,3,2,15,13,20,11,5
92,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,13817,12,3,16,55,10,25,17,30
93,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13748,6,3,5,55,19,15,13,20
94,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4880,21,4,20,45,23,20,2,35
95,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,3540,21,6,5,15,7,40,2,25
96,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,3257,15,5,5,55,8,35,2,40
97,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,6478,3,6,19,50,22,50,3,00
98,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,8040,18,6,7,5,8,30,1,25
99,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,14300,12,6,20,0,12,35,16,35
100,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14781,15,5,8,25,20,45,12,20
101,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14939,9,6,20,0,8,15,12,15
102,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,24,6,20,55,4,25,7,30
103,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,6528,12,5,14,35,14,35,24,00
104,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,6121,1,5,6,10,8,55,2,45
105,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13029,18,5,19,30,4,25,8,55
106,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,11421,27,3,11,40,18,50,7,10
107,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7574,27,3,4,45,19,15,14,30
108,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,11596,9,5,12,55,19,15,30,20
109,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,15129,24,5,23,5,19,0,19,55
110,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,13555,18,3,14,5,5,5,15,00
111,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,5780,12,4,18,55,21,50,2,55
112,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,9397,12,5,20,20,9,5,12,45
113,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,17024,6,3,18,15,4,25,10,10
114,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5281,27,6,7,0,12,55,5,55
115,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10348,18,5,7,5,22,30,15,25
116,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12677,6,3,17,20,9,25,16,5
117,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,15147,3,3,15,25,1,35,10,10
118,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,4668,12,6,7,0,9,40,2,40
119,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,15554,9,5,7,5,19,0,11,55
120,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,3971,9,4,5,55,8,35,2,40
121,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,3100,3,5,15,0,16,25,1,25
122,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9663,6,5,20,0,10,5,14,5
123,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,27430,1,3,23,0,19,15,20,15
124,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,3540,12,5,5,15,7,40,2,25
125,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,10676,21,5,12,0,11,10,23,10
126,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,13044,12,6,14,5,8,15,18,10
127,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14388,6,5,20,0,12,0,16,00
128,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3943,24,6,4,0,6,50,2,50
129,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,3597,3,6,14,45,17,5,2,20
130,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,5932,21,3,11,50,19,50,8,00
131,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,15,6,11,30,4,25,16,55
132,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0,6216,12,5,14,40,17,50,3,10
133,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4804,15,6,20,25,23,10,2,45
134,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,14067,21,5,11,30,1,30,14,00
135,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,15129,18,5,19,10,19,0,23,50
136,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13376,6,6,6,45,4,25,21,40
137,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,10441,27,6,22,0,19,15,21,15
138,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4030,24,5,6,0,8,45,2,45
139,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,17024,3,3,8,0,18,50,10,50
140,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,13017,9,4,17,30,1,30,8,00
141,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,6686,6,6,23,30,7,45,8,15
142,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5636,15,6,2,0,7,25,5,25
143,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6442,9,6,7,35,16,10,8,35
144,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,9486,21,5,13,5,0,55,11,50
145,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10844,21,5,20,0,23,35,27,35
146,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,15318,3,6,20,0,4,25,8,25
147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5117,3,4,12,30,9,25,20,55
148,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6147,24,6,15,10,20,0,4,50
149,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7005,9,6,12,50,21,0,8,10
150,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,3873,3,4,22,20,0,40,2,20
151,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,9270,21,3,18,25,18,50,24,25
152,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3898,27,6,11,40,14,30,2,50
153,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14781,12,5,8,25,20,45,12,20
154,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,8586,24,5,20,0,8,15,12,15
155,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,10697,9,5,8,20,7,55,23,35
156,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,14300,27,6,20,0,12,35,16,35
157,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,8855,3,3,18,55,21,45,2,50
158,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10844,12,5,16,30,18,15,25,45
159,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,17024,6,3,2,15,4,25,26,10
160,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9314,1,5,9,35,14,25,28,50
161,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4777,24,3,0,40,3,25,2,45
162,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,7662,9,6,12,0,13,15,25,15
163,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6442,9,5,6,50,16,10,9,20
164,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,5264,12,6,8,45,13,15,4,30
165,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12898,27,5,13,0,4,25,15,25
166,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,6092,3,3,13,55,15,25,1,30
167,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,3311,21,5,5,55,8,35,2,40
168,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6540,27,3,19,15,4,25,9,10
169,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3419,27,5,1,30,4,15,2,45
170,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5177,3,4,14,0,12,35,22,35
171,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,8246,18,4,18,5,21,10,3,5
172,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,14676,9,6,9,35,21,5,11,30
173,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,13587,27,6,11,30,21,0,9,30
174,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9663,6,5,21,10,9,20,12,10
175,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,13044,12,6,16,30,10,5,17,35
176,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5073,3,4,20,25,1,30,5,5
177,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,9345,21,5,17,0,18,50,25,50
178,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9663,6,5,14,5,10,5,20,00
179,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,14277,21,5,8,0,21,0,13,00
180,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,1,6,10,0,4,25,18,25
181,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,5678,27,3,19,35,21,5,1,30
182,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,13727,15,5,16,0,1,30,9,30
183,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9663,6,5,20,0,12,0,16,00
184,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,3858,12,5,14,45,17,5,2,20
185,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,4812,24,6,8,45,13,15,4,30
186,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,5775,27,6,21,50,3,35,5,45
187,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10539,6,6,9,35,9,45,24,10
188,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4804,3,6,15,30,18,5,2,35
189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3383,12,6,11,10,13,55,2,45
190,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,8738,3,3,12,10,17,5,4,55
191,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7165,27,3,5,15,6,50,25,35
192,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6412,24,6,16,10,22,30,6,20
193,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,8016,27,6,18,55,22,0,3,5
194,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,11087,12,3,20,35,15,15,18,40
195,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0,3543,27,6,9,45,12,0,2,15
196,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,12471,12,6,16,30,4,40,12,10
197,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10262,24,6,9,0,4,25,19,25
198,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4441,18,3,13,20,16,10,2,50
199,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12537,27,3,7,5,15,30,8,25
200,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10091,24,3,22,25,7,40,9,15
201,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,6961,3,6,21,5,23,55,2,50
202,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,5013,24,4,5,35,8,50,3,15
203,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,6934,18,5,5,10,8,0,2,50
204,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,10877,3,6,6,40,19,0,12,20
205,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,7229,18,4,15,15,18,10,2,55
206,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7048,27,3,16,0,1,35,9,35
207,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,4878,27,6,17,0,19,35,2,35
208,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,10844,21,5,14,5,23,35,9,30
209,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,15129,18,5,23,5,4,25,29,20
210,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3943,12,5,0,30,3,25,2,55
211,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,5583,6,6,6,5,11,20,5,15
212,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,9646,6,6,7,5,16,10,9,5
213,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,7677,3,6,8,30,19,15,10,45
214,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,6842,1,6,5,10,10,5,4,55
215,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,4995,24,6,8,45,10,15,1,30
216,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,9555,9,6,7,10,18,50,11,40
217,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4077,1,6,1,30,4,15,2,45
218,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,7229,12,5,15,15,18,10,2,55
219,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,12192,9,6,9,0,19,0,10,00
220,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,5911,12,4,10,0,12,45,2,45
221,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,8372,12,6,9,0,19,15,10,15
